EmpID,Age,GenderCode,AgeRange,CountryID,NoEmployees,NoEmployeesRange,SelfEmployed,FamilyHistory,Treatment,WorkInterfere,RemoteWork,TechCompany,Benefits,CareOptions,WellnessProgram,SeekHelp,Anonymous,Leave,MentalHealthConsequences,PhysicalHealthConsequences,Coworkers,Supervisor,MentalHealthInterview,PhysicalHealthInterview,MentalVsPhysical,ObsConsequences
80,28,0,1,18,6-25,1,No,No,No,Never,Yes,Yes,Don't know,No,Don't know,Don't know,Don't know,Very easy,No,No,Some of them,Some of them,Maybe,Yes,Yes,No
81,38,0,2,46,100-500,3,No,Yes,No,Sometimes,Yes,Yes,Yes,Yes,No,Yes,Don't know,Don't know,No,No,Yes,Some of them,Maybe,Maybe,Yes,No
82,23,0,1,45,26-100,2,No,No,No,Never,No,Yes,Yes,Not sure,Yes,Don't know,Don't know,Very easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No
83,30,0,1,8,26-100,2,No,No,No,Never,No,No,No,No,No,No,Don't know,Don't know,No,No,Some of them,Yes,No,No,No,No
84,27,1,1,46,1-5,0,Yes,No,Yes,Often,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,Maybe,Some of them,Yes,No,Maybe,Yes,No
85,33,0,2,46,More than 1000,5,No,Yes,No,Never,No,Yes,No,No,No,No,Don't know,Don't know,Yes,No,No,No,No,Maybe,No,No
86,31,0,2,46,26-100,2,No,No,No,,No,Yes,Don't know,Not sure,No,No,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Maybe,No,No
87,39,0,2,45,6-25,1,Yes,No,Yes,Often,No,Yes,No,No,No,No,Don't know,Very difficult,Maybe,No,Some of them,No,No,Maybe,No,Yes
88,34,1,2,46,500-1000,4,No,Yes,Yes,Rarely,Yes,Yes,Yes,Not sure,No,Don't know,Don't know,Don't know,Yes,Maybe,Some of them,Some of them,No,No,Don't know,No
89,29,1,1,46,26-100,2,No,No,Yes,Sometimes,No,Yes,Yes,Yes,No,No,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,No,Yes
90,32,0,2,46,500-1000,4,No,No,No,,No,Yes,Don't know,No,No,Don't know,Don't know,Don't know,No,No,Some of them,Some of them,No,No,Don't know,No
91,31,0,2,46,500-1000,4,No,No,No,Never,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,No,Yes,No
92,40,0,2,46,26-100,2,No,No,Yes,Sometimes,No,Yes,No,Yes,No,No,Yes,Very difficult,No,No,Yes,Yes,Yes,Yes,No,No
93,34,0,2,46,26-100,2,No,No,No,,No,Yes,Don't know,No,No,No,Don't know,Somewhat easy,Maybe,No,Some of them,No,No,Maybe,Don't know,No
94,18,2,0,37,26-100,2,No,No,No,,Yes,Yes,Yes,Yes,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Yes,Yes,Don't know,No
95,25,1,1,8,26-100,2,No,No,Yes,Sometimes,No,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,Yes,No,Maybe,Don't know,No
96,29,0,1,46,26-100,2,No,No,No,Never,No,Yes,Don't know,No,No,Don't know,Don't know,Don't know,No,No,Yes,Yes,Maybe,Maybe,No,No
97,24,0,1,46,26-100,2,No,Yes,No,Rarely,No,Yes,Don't know,Not sure,No,Don't know,Don't know,Somewhat easy,Maybe,Maybe,Some of them,No,No,Maybe,Don't know,No
98,31,0,2,27,6-25,1,No,Yes,Yes,Sometimes,No,Yes,Don't know,No,No,No,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Yes,No,No
99,33,0,2,46,6-25,1,No,No,Yes,Sometimes,No,Yes,No,Yes,No,No,Don't know,Somewhat easy,Maybe,No,Some of them,No,No,Maybe,No,No
100,30,0,1,46,1-5,0,No,No,Yes,Often,No,Yes,No,Yes,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No
101,26,1,1,8,26-100,2,No,Yes,Yes,Sometimes,No,No,No,Yes,No,No,No,Very difficult,Yes,No,No,No,No,Maybe,No,Yes
102,44,1,2,46,100-500,3,No,No,No,Never,No,Yes,Yes,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,Maybe,No,Some of them,No,No,Don't know,No
103,25,0,1,46,26-100,2,No,Yes,No,,No,Yes,Don't know,No,Don't know,Don't know,Don't know,Very easy,No,No,Some of them,Yes,No,No,Don't know,No
104,33,0,2,46,26-100,2,No,Yes,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No
105,29,0,1,46,More than 1000,5,No,No,No,Never,No,Yes,Yes,Not sure,Yes,Don't know,Don't know,Somewhat easy,No,No,Some of them,Yes,No,No,Don't know,No
106,35,0,2,46,6-25,1,No,Yes,No,Rarely,No,Yes,Yes,Not sure,No,No,Yes,Somewhat easy,No,No,Some of them,Yes,No,No,Don't know,No
107,35,0,2,46,26-100,2,No,Yes,Yes,Sometimes,Yes,Yes,Don't know,Not sure,No,No,Don't know,Somewhat easy,No,No,Some of them,Yes,No,Maybe,No,No
108,28,0,1,6,6-25,1,No,Yes,Yes,Rarely,No,Yes,No,No,No,No,No,Don't know,Maybe,No,Yes,Yes,No,No,Don't know,Yes
109,34,0,2,46,6-25,1,No,Yes,No,Never,Yes,Yes,Yes,No,No,No,Don't know,Don't know,Maybe,No,No,No,No,No,Don't know,No
110,32,0,2,46,26-100,2,No,No,Yes,Sometimes,No,Yes,Yes,No,Yes,Yes,Yes,Somewhat difficult,Maybe,No,Some of them,Yes,No,Maybe,Yes,No
111,22,0,1,46,500-1000,4,No,No,Yes,Sometimes,No,Yes,Yes,Yes,No,Don't know,Yes,Don't know,Yes,No,No,No,No,Yes,No,No
112,28,0,1,46,26-100,2,No,No,Yes,Sometimes,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Some of them,No,Maybe,Yes,No
113,45,0,2,46,6-25,1,No,Yes,Yes,Rarely,Yes,Yes,Yes,Yes,No,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,Yes,Yes,No
114,32,0,2,46,100-500,3,No,No,No,Never,No,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know,No
115,28,0,1,46,More than 1000,5,No,No,No,,No,Yes,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,No
116,26,0,1,45,6-25,1,No,No,No,Never,No,Yes,Don't know,No,No,Don't know,Don't know,Very easy,No,No,Some of them,Some of them,No,No,Don't know,Yes
117,21,0,1,45,1-5,0,Yes,No,No,Often,Yes,No,No,Yes,No,No,Yes,Very difficult,Yes,No,Some of them,Yes,No,Maybe,No,No
118,27,0,1,8,6-25,1,No,No,No,Rarely,No,No,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,No,Some of them,Yes,No,No,Don't know,No
119,18,0,0,46,1-5,0,No,No,Yes,Rarely,Yes,Yes,No,No,No,No,Yes,Very easy,No,No,Some of them,No,No,No,Don't know,No
120,35,0,2,46,26-100,2,No,No,No,,Yes,Yes,Don't know,Not sure,No,Don't know,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Maybe,Don't know,No
121,29,0,1,46,More than 1000,5,No,No,No,Never,No,Yes,Yes,Yes,No,Yes,Don't know,Don't know,Yes,Yes,No,No,No,No,Don't know,No
122,25,0,1,46,26-100,2,No,No,No,,Yes,Yes,Don't know,No,No,No,Don't know,Very easy,No,No,Some of them,Yes,No,No,Don't know,No
123,33,0,2,46,6-25,1,No,Yes,Yes,Sometimes,Yes,Yes,Don't know,No,Don't know,Don't know,Yes,Very easy,No,No,Yes,Yes,No,Maybe,Yes,No
124,36,0,2,46,6-25,1,No,No,No,Often,No,Yes,Yes,No,No,No,Yes,Don't know,Maybe,No,No,No,No,No,Don't know,No
125,27,0,1,8,100-500,3,No,No,Yes,Never,No,No,Yes,Not sure,No,No,Don't know,Very difficult,Maybe,No,Some of them,Yes,No,Maybe,No,Yes
126,27,0,1,46,500-1000,4,No,Yes,No,Never,No,Yes,Yes,No,Yes,Yes,Yes,Don't know,Yes,No,Some of them,No,No,Yes,Don't know,No
127,27,0,1,45,6-25,1,No,No,No,,No,Yes,No,No,No,No,Don't know,Don't know,No,No,Some of them,Some of them,No,No,Don't know,No
128,32,0,2,46,100-500,3,No,No,Yes,Rarely,No,Yes,Yes,Yes,No,Yes,Yes,Don't know,Yes,No,No,Yes,No,No,Don't know,No
129,31,0,2,45,6-25,1,No,Yes,No,Sometimes,No,Yes,No,No,No,No,Don't know,Somewhat easy,Maybe,Maybe,No,No,No,No,Yes,No
130,19,0,0,39,6-25,1,No,No,Yes,Sometimes,No,Yes,Don't know,No,No,No,Don't know,Somewhat easy,Yes,Yes,Some of them,No,No,No,Don't know,No
131,33,0,2,46,More than 1000,5,No,Yes,Yes,Sometimes,No,Yes,Yes,Yes,No,No,Don't know,Very easy,Maybe,No,Yes,Some of them,No,Yes,No,No
132,32,0,2,46,1-5,0,No,No,No,Rarely,Yes,Yes,No,Yes,No,No,Don't know,Very difficult,Maybe,No,Yes,Some of them,No,Yes,Don't know,No
133,27,0,1,46,26-100,2,No,No,No,Never,No,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,No,Yes,Yes,Maybe,Maybe,Don't know,No
134,38,0,2,11,26-100,2,No,No,No,,Yes,Yes,No,Yes,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Maybe,Yes,No,No
135,24,0,1,8,26-100,2,No,No,Yes,Never,No,Yes,Don't know,No,No,No,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Yes,Don't know,No
136,39,0,2,45,26-100,2,No,No,No,Never,No,No,No,No,No,No,Don't know,Don't know,Yes,Maybe,No,No,No,No,Don't know,No
137,28,0,1,45,6-25,1,No,No,No,Never,No,Yes,Don't know,No,No,No,Yes,Very easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No
138,39,0,2,46,More than 1000,5,No,No,Yes,Often,No,Yes,Yes,Not sure,No,No,Don't know,Somewhat easy,No,No,Yes,Yes,No,No,Don't know,No
139,29,1,1,46,6-25,1,No,No,No,,No,Yes,Don't know,No,No,Don't know,Don't know,Somewhat easy,Maybe,No,Some of them,No,No,No,Don't know,No
140,22,0,1,2,6-25,1,No,No,No,,Yes,Yes,Don't know,No,Don't know,No,Don't know,Somewhat easy,No,No,Some of them,Some of them,No,No,Don't know,No
141,38,0,2,46,100-500,3,No,Yes,Yes,Sometimes,No,Yes,Don't know,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Yes,No,No,Don't know,No
142,37,0,2,45,More than 1000,5,Yes,No,Yes,Sometimes,No,No,No,Yes,Yes,Yes,Yes,Very difficult,Yes,Yes,Some of them,No,No,Maybe,Yes,No
143,35,0,2,46,26-100,2,No,No,No,Never,Yes,No,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,Yes,No,Some of them,No,No,Maybe,Don't know,No
144,31,0,2,46,More than 1000,5,No,No,No,,Yes,No,Yes,No,Don't know,Yes,Don't know,Don't know,No,No,Some of them,Yes,No,No,Don't know,No
145,30,1,1,46,More than 1000,5,No,Yes,No,,Yes,Yes,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,Some of them,No,Maybe,Don't know,No
146,37,0,2,46,100-500,3,No,Yes,Yes,Rarely,No,No,Yes,Yes,Yes,Yes,Don't know,Somewhat easy,Maybe,Maybe,Some of them,Yes,Maybe,Maybe,Don't know,No
147,24,0,1,45,6-25,1,No,No,No,Never,No,Yes,No,No,No,No,Yes,Don't know,Maybe,Maybe,No,Some of them,No,No,Don't know,No
148,23,0,1,46,6-25,1,No,No,No,Sometimes,No,No,No,No,No,No,No,Somewhat easy,Yes,Yes,No,No,No,No,No,No
149,30,0,1,22,100-500,3,No,No,Yes,Rarely,No,Yes,No,Yes,Yes,Yes,Don't know,Somewhat easy,Yes,No,Some of them,No,No,No,No,Yes
150,29,1,1,46,100-500,3,No,No,No,,Yes,Yes,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,No,No,Some of them,No,Maybe,Don't know,No
151,19,0,0,8,1-5,0,Yes,Yes,No,,Yes,Yes,Don't know,Not sure,No,Yes,Yes,Somewhat easy,Maybe,No,Some of them,Some of them,Maybe,Maybe,Don't know,No
152,32,0,2,46,26-100,2,No,Yes,No,Never,No,Yes,Don't know,Not sure,No,No,Don't know,Very easy,No,No,Some of them,Some of them,No,Maybe,No,No
153,28,0,1,34,6-25,1,No,No,No,Rarely,Yes,Yes,No,No,No,No,Don't know,Don't know,No,No,Yes,Yes,Maybe,Yes,Yes,No
154,36,0,2,46,6-25,1,No,No,No,Never,No,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,No,Some of them,Some of them,Maybe,Maybe,Don't know,No
155,37,0,2,45,More than 1000,5,No,Yes,Yes,Rarely,No,No,Yes,Yes,Yes,Yes,Yes,Somewhat difficult,Yes,Maybe,Some of them,No,No,Yes,No,Yes
156,25,0,1,46,26-100,2,No,Yes,Yes,Sometimes,No,No,Don't know,No,No,Don't know,Don't know,Somewhat difficult,Maybe,No,Some of them,Some of them,No,Maybe,No,No
157,27,0,1,46,More than 1000,5,No,Yes,Yes,Sometimes,No,Yes,Don't know,No,No,Don't know,Don't know,Don't know,No,No,No,Some of them,No,Maybe,Don't know,No
158,26,0,1,46,26-100,2,No,No,No,Often,No,No,Don't know,Not sure,No,No,Don't know,Don't know,Yes,Maybe,Some of them,Yes,No,Maybe,No,No
159,27,0,1,46,26-100,2,No,No,Yes,Rarely,Yes,Yes,No,Yes,No,No,Don't know,Somewhat difficult,Maybe,No,Some of them,Yes,No,No,Don't know,Yes
160,25,0,1,46,26-100,2,No,Yes,Yes,Sometimes,No,Yes,Don't know,Not sure,No,No,Don't know,Very easy,Maybe,No,Some of them,No,No,No,Don't know,Yes
